listKind,section,application,cataloguePartNumber,referenceNo,size,pcsPerSet,mrp,priceToDistributors,sellingPrice,stock,firm,validationStatus,reviewReasons,sourcePdf,sourceRow
"HCV","BRAKE SHOE","BRAKE SHOE","BRAKE SHOE ASSEMBLY JOST/BPW/STD","BRAKE SHOE ASSEMBLY JOST/BPW","STD","1","4083","1837","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","86"
"HCV","DBP","VOLVO / ASHOK LAYLAND / EICHER","MB/NA/DBP-29174/STD","MB/NA/DBP-29174","STD","4","6605","2972","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","88"
"LCV","LCV","TATA 407","MB/NA/IN 19/20/1/STD","MB/NA/IN 19/20/1","STD","4","1209","544","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR LCV.pdf","4"
"LCV","LCV","TATA 407","MB/NA/IN 19/20/1/1MM","MB/NA/IN 19/20/1","1 MM","4","1260","567","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR LCV.pdf","5"
"LCV","LCV","TATA 407","MB/NA/IN 19/20/1/2MM","MB/NA/IN 19/20/1","2 MM","4","1314","591","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR LCV.pdf","6"
"LCV","LCV","TATA 608","MB/NA/IN 19/20/2/STD","MB/NA/IN 19/20/2","STD","4","1386","624","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR LCV.pdf","7"
"LCV","LCV","TATA 608","MB/NA/IN 19/20/2/1MM","MB/NA/IN 19/20/2","1 MM","4","1419","639","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR LCV.pdf","8"
"LCV","LCV","TATA 608","MB/NA/IN 19/20/2/2MM","MB/NA/IN 19/20/2","2 MM","4","1449","652","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR LCV.pdf","9"
"LCV","LCV","TATA 1009 / EICHER MCV 11.10","MB/NA/T1009/STD","MB/NA/T1009","STD","4","1995","898","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR LCV.pdf","10"
"LCV","LCV","TATA 1009 / EICHER MCV 11.10","MB/NA/T1009/1MM","MB/NA/T1009","1 MM","4","2100","945","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR LCV.pdf","11"
